Variant,ConfigName,n,wall_mean,wall_med,wall_iqr,wall_iqr_ratio,compile_mean,compile_med,compile_iqr,compile_iqr_ratio,size_mean,size_med
rustls,EXP_DBL_0405,10,10.827249,10.811541,0.055005,0.005088,69.743254,69.743254,0.000000,0.000000,4312992.000000,4312992
rustls,EXP_DBL_0708,10,10.817606,10.814348,0.055016,0.005087,70.564285,70.564285,0.000000,0.000000,4311656.000000,4311656
rustls,EXP_DBL_0840,10,10.883133,10.890469,0.055382,0.005085,72.575370,72.575370,0.000000,0.000000,4392656.000000,4392656
rustls,EXP_DBL_1383,10,10.850678,10.824705,0.055029,0.005084,69.507088,69.507088,0.000000,0.000000,4310856.000000,4310856
rustls,EXP_DBL_0404,10,10.844677,10.822425,0.055014,0.005083,69.495516,69.495516,0.000000,0.000000,4320480.000000,4320480
rustls,EXP_DBL_1499,10,10.842200,10.823144,0.055013,0.005083,70.889351,70.889351,0.000000,0.000000,4309192.000000,4309192
rustls,EXP_DBL_0824,10,10.841981,10.826584,0.054944,0.005075,69.636097,69.636097,0.000000,0.000000,4309504.000000,4309504
rustls,EXP_DBL_1658,10,10.868672,10.857938,0.055090,0.005074,69.933902,69.933902,0.000000,0.000000,4309440.000000,4309440
rustls,EXP_DBL_0178,10,10.831174,10.807799,0.054787,0.005069,69.764071,69.764071,0.000000,0.000000,4311496.000000,4311496
rustls,EXP_DBL_1484,10,10.834953,10.822389,0.054767,0.005061,70.134022,70.134022,0.000000,0.000000,4308232.000000,4308232
rustls,EXP_DBL_1249,10,10.858216,10.834931,0.054775,0.005055,71.965474,71.965474,0.000000,0.000000,4294408.000000,4294408
rustls,EXP_DBL_1564,10,10.838358,10.831682,0.054750,0.005055,69.831299,69.831299,0.000000,0.000000,4309192.000000,4309192
rustls,EXP_DBL_1032,10,10.830036,10.818036,0.054685,0.005055,69.944585,69.944585,0.000000,0.000000,4309416.000000,4309416
rustls,EXP_DBL_0170,10,10.826572,10.821925,0.054670,0.005052,69.788828,69.788828,0.000000,0.000000,4311496.000000,4311496
rustls,EXP_DBL_0179,10,10.842191,10.833196,0.054698,0.005049,68.542860,68.542860,0.000000,0.000000,4313384.000000,4313384
rustls,EXP_DBL_0397,10,10.830550,10.809012,0.054519,0.005044,69.638160,69.638160,0.000000,0.000000,4312992.000000,4312992
rustls,EXP_DBL_1079,10,10.837018,10.826915,0.054601,0.005043,70.803255,70.803255,0.000000,0.000000,4309416.000000,4309416
rustls,EXP_DBL_0555,10,10.843037,10.829253,0.054570,0.005039,69.807423,69.807423,0.000000,0.000000,4309504.000000,4309504
rustls,EXP_DBL_0817,10,10.853926,10.840234,0.054565,0.005034,69.737290,69.737290,0.000000,0.000000,4309504.000000,4309504
rustls,EXP_DBL_0768,10,10.846214,10.824285,0.054477,0.005033,69.823435,69.823435,0.000000,0.000000,4309504.000000,4309504
rustls,EXP_DBL_0761,10,10.842522,10.822891,0.054298,0.005017,69.616428,69.616428,0.000000,0.000000,4291936.000000,4291936
rustls,EXP_DBL_0981,10,10.839883,10.826940,0.054260,0.005012,69.683529,69.683529,0.000000,0.000000,4309168.000000,4309168
rustls,EXP_ABL_047_disable-machine-sink,10,10.808273,10.794116,0.053882,0.004992,70.542431,70.542431,0.000000,0.000000,4307616.000000,4307616
rustls,EXP_000_ALL_OFF,10,10.886060,10.874192,0.054272,0.004991,84.213384,84.213384,0.000000,0.000000,4395240.000000,4395240
rustls,EXP_DBL_1246,10,10.853646,10.846437,0.054139,0.004991,71.153490,71.153490,0.000000,0.000000,4294408.000000,4294408
rustls,EXP_DBL_0743,10,10.812365,10.805048,0.053900,0.004988,70.515598,70.515598,0.000000,0.000000,4311656.000000,4311656
rustls,EXP_DBL_1109,10,10.820805,10.814082,0.053933,0.004987,69.916358,69.916358,0.000000,0.000000,4317760.000000,4317760
rustls,EXP_DBL_0814,10,10.849749,10.828416,0.053960,0.004983,69.458033,69.458033,0.000000,0.000000,4309504.000000,4309504
rustls,EXP_DBL_0917,10,10.834544,10.819268,0.053736,0.004967,69.625138,69.625138,0.000000,0.000000,4309168.000000,4309168
rustls,EXP_DBL_1551,10,10.831971,10.827915,0.053762,0.004965,71.000681,71.000681,0.000000,0.000000,4309192.000000,4309192
rustls,EXP_DBL_0265,10,10.837532,10.825341,0.053723,0.004963,70.115211,70.115211,0.000000,0.000000,4317536.000000,4317536
rustls,EXP_DBL_0288,10,10.857179,10.840933,0.053784,0.004961,71.511459,71.511459,0.000000,0.000000,4317408.000000,4317408
rustls,EXP_DBL_1191,10,10.861961,10.843045,0.053779,0.004960,70.986286,70.986286,0.000000,0.000000,4304624.000000,4304624
rustls,EXP_DBL_0773,10,10.847418,10.823729,0.053495,0.004942,69.567978,69.567978,0.000000,0.000000,4309504.000000,4309504
rustls,EXP_DBL_0491,10,10.835906,10.820141,0.053458,0.004941,69.505451,69.505451,0.000000,0.000000,4310176.000000,4310176
rustls,EXP_DBL_0830,10,10.838314,10.821133,0.053414,0.004936,71.027432,71.027432,0.000000,0.000000,4309504.000000,4309504
rustls,EXP_DBL_0681,10,10.871966,10.836199,0.053476,0.004935,69.575049,69.575049,0.000000,0.000000,4264456.000000,4264456
rustls,EXP_DBL_1269,10,10.845408,10.825710,0.053392,0.004932,71.105975,71.105975,0.000000,0.000000,4294408.000000,4294408
rustls,EXP_DBL_1395,10,10.840905,10.826130,0.053387,0.004931,70.772244,70.772244,0.000000,0.000000,4310856.000000,4310856
rustls,EXP_DBL_0587,10,10.835917,10.826647,0.053334,0.004926,70.128711,70.128711,0.000000,0.000000,4309504.000000,4309504
rustls,EXP_DBL_1156,10,10.833613,10.823451,0.053107,0.004907,70.080719,70.080719,0.000000,0.000000,4317760.000000,4317760
rustls,EXP_DBL_1365,10,10.842854,10.818211,0.053059,0.004905,69.318570,69.318570,0.000000,0.000000,4310824.000000,4310824
rustls,EXP_DBL_1644,10,10.856111,10.839037,0.053140,0.004903,70.004253,70.004253,0.000000,0.000000,4309440.000000,4309440
rustls,EXP_DBL_0466,10,10.823908,10.819313,0.052951,0.004894,69.281009,69.281009,0.000000,0.000000,4310184.000000,4310184
rustls,EXP_DBL_0248,10,10.840905,10.828035,0.052926,0.004888,69.899447,69.899447,0.000000,0.000000,4324680.000000,4324680
rustls,EXP_ABL_016_ReferencePropagation,10,10.843021,10.832580,0.052912,0.004885,69.884367,69.884367,0.000000,0.000000,4294408.000000,4294408
rustls,EXP_ABL_003_disable-interleaved-load-combine,10,10.827861,10.817355,0.052787,0.004880,70.709183,70.709183,0.000000,0.000000,4309504.000000,4309504
rustls,EXP_ABL_078_disable-partial-inlining,10,10.839434,10.815888,0.052771,0.004879,70.409238,70.409238,0.000000,0.000000,4309504.000000,4309504
rustls,EXP_DBL_0293,10,10.850643,10.831869,0.052801,0.004875,70.342643,70.342643,0.000000,0.000000,4317408.000000,4317408
rustls,EXP_ABL_077_disable-mr-partial-inlining,10,10.833543,10.828138,0.052734,0.004870,70.501721,70.501721,0.000000,0.000000,4309504.000000,4309504
rustls,EXP_DBL_0861,10,10.878061,10.865417,0.052901,0.004869,72.627636,72.627636,0.000000,0.000000,4392728.000000,4392728
rustls,EXP_DBL_0432,10,10.858160,10.839000,0.052745,0.004866,69.218090,69.218090,0.000000,0.000000,4262248.000000,4262248
