Variant,ConfigName,n,wall_mean,wall_med,wall_iqr,compile_mean,compile_med,compile_iqr,size_mean,size_med
rustls,EXP_DBL_1216,10,10.835515,10.823964,0.022487,79.042532,79.042532,0.000000,4308048.000000,4308048
rustls,EXP_DBL_1217,10,10.823704,10.801234,0.022264,79.161078,79.161078,0.000000,4304944.000000,4304944
rustls,EXP_DBL_1218,10,10.842173,10.827669,0.057028,78.629054,78.629054,0.000000,4304944.000000,4304944
rustls,EXP_DBL_1219,10,10.835067,10.830050,0.031161,79.170546,79.170546,0.000000,4304944.000000,4304944
rustls,EXP_DBL_1220,10,10.838048,10.832863,0.035849,79.034577,79.034577,0.000000,4304944.000000,4304944
rustls,EXP_DBL_1221,10,10.832695,10.814950,0.026792,79.498740,79.498740,0.000000,4304944.000000,4304944
rustls,EXP_DBL_1222,10,10.841059,10.811688,0.033152,80.642254,80.642254,0.000000,4304944.000000,4304944
rustls,EXP_DBL_1223,10,10.831736,10.811936,0.013548,81.159128,81.159128,0.000000,4304944.000000,4304944
rustls,EXP_DBL_1224,10,10.838537,10.824977,0.062013,80.755651,80.755651,0.000000,4304944.000000,4304944
rustls,EXP_DBL_1225,10,10.841156,10.827704,0.015533,78.946832,78.946832,0.000000,4304888.000000,4304888
rustls,EXP_DBL_1226,10,10.856133,10.842700,0.074356,77.558457,77.558457,0.000000,4358672.000000,4358672
rustls,EXP_DBL_1227,10,10.828799,10.809273,0.033110,78.449649,78.449649,0.000000,4304944.000000,4304944
rustls,EXP_DBL_1228,10,10.836045,10.827462,0.075912,77.553851,77.553851,0.000000,4304944.000000,4304944
rustls,EXP_DBL_1229,10,10.822504,10.804441,0.024080,77.053726,77.053726,0.000000,4304944.000000,4304944
rustls,EXP_DBL_1230,10,10.846423,10.819066,0.037495,77.383819,77.383819,0.000000,4304944.000000,4304944
rustls,EXP_DBL_1231,10,10.829758,10.800926,0.019167,76.123621,76.123621,0.000000,4304944.000000,4304944
rustls,EXP_DBL_1232,10,10.846218,10.815081,0.077475,76.290022,76.290022,0.000000,4304944.000000,4304944
rustls,EXP_DBL_1233,10,10.827417,10.808703,0.030086,77.013452,77.013452,0.000000,4304944.000000,4304944
rustls,EXP_DBL_1234,10,10.835165,10.819369,0.038529,78.122046,78.122046,0.000000,4313008.000000,4313008
rustls,EXP_DBL_1235,10,10.831127,10.807598,0.038525,77.352498,77.352498,0.000000,4304944.000000,4304944
