Variant,ConfigName,n,wall_mean,wall_med,wall_iqr,ns_mean,ns_med,ns_iqr,mbps_mean,mbps_med,mbps_iqr,compile_mean,compile_med,compile_iqr,size_mean,size_med
hyper,EXP_ABL_063_disable-nofree-inference,10,13.194846,13.190906,0.341170,43605906.780000,43629111.050000,844329.075000,4810.100000,4806.500000,93.750000,48.500266,48.500266,0.000000,173009216.000000,173009216
hyper,EXP_ABL_064_disable-nounwind-inference,10,13.261325,13.213269,0.242895,43829087.550000,43691678.350000,856940.500000,4785.200000,4799.500000,92.500000,48.343302,48.343302,0.000000,173030304.000000,173030304
hyper,EXP_ABL_065_disable-ondemand-mds-loading,10,13.000303,12.996018,0.446092,42952201.940000,42913080.350000,1594824.600000,4884.000000,4886.500000,181.250000,48.939074,48.939074,0.000000,173009216.000000,173009216
hyper,EXP_ABL_066_disable-ra-fsprofile-loader,10,13.081274,13.066968,0.098140,43258592.790000,43263175.000000,119574.500000,4847.900000,4847.000000,13.500000,49.386943,49.386943,0.000000,173009216.000000,173009216
hyper,EXP_ABL_067_disable-sample-loader-inlining,10,13.111574,13.100469,0.198000,43357648.670000,43390578.750000,351767.275000,4836.800000,4832.500000,39.500000,48.821985,48.821985,0.000000,173009216.000000,173009216
hyper,EXP_ABL_068_disable-thinlto-funcattrs,10,13.177319,13.163344,0.224047,43509437.310000,43394790.450000,855198.300000,4820.600000,4832.000000,95.000000,48.345825,48.345825,0.000000,173009216.000000,173009216
hyper,EXP_ABL_069_disable-vp,10,13.201140,13.176172,0.270486,43697744.030000,43489516.800000,1042129.050000,4799.800000,4822.000000,114.250000,48.297631,48.297631,0.000000,173009216.000000,173009216
hyper,EXP_ABL_070_disable-whole-program-visibility,10,13.250140,13.280327,0.152456,43815674.070000,43846126.550000,245427.975000,4786.500000,4782.500000,27.000000,48.714435,48.714435,0.000000,173009216.000000,173009216
hyper,EXP_ABL_071_disable-2addr-hack,10,13.084677,13.114526,0.142692,43333422.790000,43496032.250000,770626.775000,4839.700000,4821.000000,86.750000,48.656171,48.656171,0.000000,173009216.000000,173009216
hyper,EXP_ABL_072_disable-cgp,10,13.245968,13.235788,0.085366,43785178.010000,43780248.800000,123420.275000,4789.500000,4789.500000,13.750000,48.969565,48.969565,0.000000,173042640.000000,173042640
hyper,EXP_ABL_073_disable-cgp-gc-opts,10,13.003465,12.965301,0.260625,42984288.640000,42756739.250000,602490.125000,4878.800000,4904.500000,68.250000,48.994581,48.994581,0.000000,173009216.000000,173009216
hyper,EXP_ABL_074_disable-complex-addr-modes,10,13.411510,13.425821,0.096862,44372935.610000,44387090.100000,374799.450000,4725.700000,4724.000000,40.250000,48.607954,48.607954,0.000000,173010512.000000,173010512
hyper,EXP_ABL_075_disable-dfa-sched,10,13.292442,13.314253,0.215307,43996589.770000,44089958.650000,847780.325000,4767.000000,4756.500000,91.500000,48.428986,48.428986,0.000000,173009216.000000,173009216
hyper,EXP_ABL_076_disable-i2p-p2i-opt,10,13.256320,13.304187,0.210358,43763866.780000,43769701.500000,627854.100000,4792.600000,4791.000000,68.250000,48.430385,48.430385,0.000000,173009560.000000,173009560
hyper,EXP_ABL_077_disable-mr-partial-inlining,10,13.299097,13.287269,0.172797,44000465.620000,43852998.900000,759572.175000,4766.600000,4782.000000,82.000000,48.546279,48.546279,0.000000,173009216.000000,173009216
hyper,EXP_ABL_078_disable-partial-inlining,10,13.243527,13.345898,0.446748,43751251.370000,44235013.600000,1184624.175000,4794.500000,4740.500000,130.250000,48.661090,48.661090,0.000000,173009216.000000,173009216
hyper,EXP_ABL_079_disable-partial-libcall-inlining,10,13.213686,13.236622,0.211525,43671432.100000,43532623.350000,888522.700000,4802.300000,4816.500000,97.000000,48.856865,48.856865,0.000000,173009216.000000,173009216
hyper,EXP_ABL_080_disable-peephole,10,13.052935,13.034944,0.339710,43130640.900000,43166514.400000,1112630.925000,4863.000000,4858.000000,125.250000,49.128692,49.128692,0.000000,173049408.000000,173049408
hyper,EXP_ABL_081_disable-post-ra,10,13.301949,13.302594,0.128729,44003348.220000,43998214.250000,888120.975000,4766.100000,4766.000000,96.250000,48.852413,48.852413,0.000000,173009216.000000,173009216
hyper,EXP_ABL_082_disable-spill-fusing,10,13.140305,13.124384,0.116098,43419098.500000,43388056.900000,333227.700000,4829.900000,4833.000000,36.750000,48.318964,48.318964,0.000000,173029488.000000,173029488
hyper,EXP_ABL_083_disable-strictnode-mutation,10,13.203324,13.277686,0.387144,43684083.330000,43829203.050000,1313320.550000,4801.900000,4784.500000,144.250000,48.361529,48.361529,0.000000,173009216.000000,173009216
hyper,EXP_DBL_0001,10,12.950307,12.954382,0.167315,42816484.130000,42788017.100000,559647.400000,4898.100000,4900.500000,63.000000,48.725819,48.725819,0.000000,173009600.000000,173009600
hyper,EXP_DBL_0002,10,12.994327,12.965139,0.228684,42943015.040000,42732965.400000,706193.975000,4883.500000,4907.000000,79.750000,48.805867,48.805867,0.000000,173009584.000000,173009584
hyper,EXP_DBL_0003,10,13.244018,13.236234,0.204727,43824911.360000,43834702.650000,808684.750000,4785.400000,4784.000000,88.750000,48.848900,48.848900,0.000000,173009584.000000,173009584
hyper,EXP_DBL_0004,10,13.068948,13.052912,0.510722,43172691.300000,43003611.550000,1525108.800000,4859.200000,4876.500000,171.500000,48.635232,48.635232,0.000000,173009584.000000,173009584
