Variant,ConfigName,n,runtime_mean,runtime_med,runtime_iqr,runtime_iqr_ratio,compile_mean,compile_med,compile_iqr,compile_iqr_ratio,size_mean,size_med,run_repeats_med
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_1515,10,6.642620,6.618103,0.244756,0.036983,120.113621,120.113621,0.000000,0.000000,2621200.000000,2621200,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0119,10,6.485547,6.454539,0.238688,0.036980,119.789851,119.789851,0.000000,0.000000,2621536.000000,2621536,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0628,10,6.011150,6.014480,0.222273,0.036956,117.056372,117.056372,0.000000,0.000000,2625008.000000,2625008,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0920,10,6.564014,6.533690,0.241340,0.036938,121.137303,121.137303,0.000000,0.000000,2621512.000000,2621512,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0500,10,6.548155,6.462796,0.238626,0.036923,117.873404,117.873404,0.000000,0.000000,2621760.000000,2621760,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0517,10,6.576477,6.560173,0.242076,0.036901,118.258227,118.258227,0.000000,0.000000,2621536.000000,2621536,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0891,10,7.027429,7.114242,0.262516,0.036900,127.468098,127.468098,0.000000,0.000000,2650288.000000,2650288,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_1420,10,6.693340,6.705205,0.247273,0.036878,120.868900,120.868900,0.000000,0.000000,2614992.000000,2614992,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0697,10,6.627480,6.608325,0.243407,0.036833,125.052128,125.052128,0.000000,0.000000,2626288.000000,2626288,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0929,10,6.596880,6.640125,0.244531,0.036826,119.295464,119.295464,0.000000,0.000000,2620856.000000,2620856,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0112,10,6.531323,6.485633,0.238792,0.036819,118.200439,118.200439,0.000000,0.000000,2621536.000000,2621536,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0655,10,6.550158,6.471834,0.238100,0.036790,117.369483,117.369483,0.000000,0.000000,2621808.000000,2621808,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0791,10,6.674876,6.663160,0.245050,0.036777,125.619082,125.619082,0.000000,0.000000,2621536.000000,2621536,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_1550,10,7.068919,7.136735,0.262027,0.036715,131.550880,131.550880,0.000000,0.000000,2621200.000000,2621200,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0739,10,6.598540,6.599353,0.242058,0.036679,119.796064,119.796064,0.000000,0.000000,2625968.000000,2625968,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_1087,10,5.805328,5.817104,0.213248,0.036659,120.641505,120.641505,0.000000,0.000000,2619232.000000,2619232,75
