Variant,ConfigName,n,runtime_med,runtime_iqr,runtime_iqr_ratio,compile_med,compile_iqr,compile_iqr_ratio,size_med
A,EXP_DBL_1394,10,13.147924,0.912703,0.069418,8.236502,0.000000,0.000000,417488
A,EXP_DBL_1086,10,11.931910,0.821967,0.068888,8.280207,0.000000,0.000000,417616
A,EXP_DBL_1386,10,13.733940,0.945217,0.068823,7.225043,0.000000,0.000000,417488
A,EXP_DBL_1396,10,12.982315,0.882793,0.068000,8.047450,0.000000,0.000000,417488
A,EXP_DBL_1419,10,12.569610,0.839270,0.066770,7.998782,0.000000,0.000000,417520
A,EXP_DBL_1414,10,13.001934,0.867250,0.066702,8.099231,0.000000,0.000000,417488
A,EXP_DBL_1393,10,13.325465,0.865502,0.064951,7.893970,0.000000,0.000000,417488
A,EXP_DBL_1406,10,13.800990,0.840171,0.060878,8.265838,0.000000,0.000000,417488
A,EXP_DBL_1423,10,12.940648,0.786977,0.060814,7.895971,0.000000,0.000000,417488
A,EXP_DBL_1421,10,12.825347,0.751892,0.058625,7.479141,0.000000,0.000000,417488
A,EXP_DBL_1398,10,13.561813,0.781665,0.057637,7.195072,0.000000,0.000000,417488
A,EXP_DBL_1315,10,10.894948,0.622184,0.057108,8.357193,0.000000,0.000000,417488
A,EXP_DBL_1397,10,12.872230,0.733230,0.056962,8.718147,0.000000,0.000000,417488
A,EXP_DBL_1395,10,13.305967,0.755508,0.056780,8.064451,0.000000,0.000000,417488
A,EXP_DBL_1084,10,11.943538,0.675070,0.056522,7.162836,0.000000,0.000000,417616
A,EXP_DBL_1632,10,10.917512,0.614084,0.056248,7.197073,0.000000,0.000000,417488
A,EXP_DBL_1400,10,13.118757,0.716930,0.054649,8.317461,0.000000,0.000000,425136
A,EXP_DBL_1431,10,12.882904,0.698862,0.054247,7.964659,0.000000,0.000000,417424
A,EXP_DBL_1083,10,11.967389,0.642029,0.053648,8.018185,0.000000,0.000000,417616
A,EXP_DBL_1407,10,13.372796,0.701275,0.052440,8.171902,0.000000,0.000000,417488
A,EXP_DBL_1391,10,13.479688,0.688767,0.051097,7.530791,0.000000,0.000000,417488
A,EXP_DBL_1420,10,13.168149,0.666638,0.050625,7.717566,0.000000,0.000000,417264
A,EXP_DBL_1417,10,12.651483,0.630749,0.049856,7.966156,0.000000,0.000000,417488
A,EXP_DBL_1399,10,13.091738,0.649167,0.049586,7.998463,0.000000,0.000000,417488
A,EXP_DBL_1390,10,13.408342,0.649263,0.048422,7.361654,0.000000,0.000000,417488
A,EXP_DBL_1090,10,11.818530,0.571078,0.048321,7.453213,0.000000,0.000000,417616
