Variant,ConfigName,n,runtime_med,runtime_iqr,compile_med,compile_iqr,size_med,alloca_med,load_med,store_med,gep_med,phi_med,bb_med
A,EXP_ABL_068_disable-thinlto-funcattrs,10,10.910177,0.043851,7.061352,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_069_disable-vp,10,10.915486,0.028364,7.052334,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_070_disable-whole-program-visibility,10,10.917012,0.051527,7.125503,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_071_disable-2addr-hack,10,10.907758,0.074057,7.301115,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_072_disable-cgp,10,10.842097,0.028037,7.196977,0.000000,425136,901,7090,4777,8659,7006,17
A,EXP_ABL_073_disable-cgp-gc-opts,10,10.911359,0.044409,7.225296,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_074_disable-complex-addr-modes,10,10.902209,0.054510,7.017708,0.000000,417472,901,7090,4777,8659,7006,17
A,EXP_ABL_075_disable-dfa-sched,10,10.910953,0.029185,7.076852,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_076_disable-i2p-p2i-opt,10,10.912146,0.029879,7.009092,0.000000,417488,901,7090,4777,8659,7005,17
A,EXP_ABL_077_disable-mr-partial-inlining,10,10.899514,0.037390,6.976358,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_078_disable-partial-inlining,10,10.901201,0.037966,7.083187,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_079_disable-partial-libcall-inlining,10,10.916379,0.029652,7.073043,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_080_disable-peephole,10,11.389979,0.015167,7.110741,0.000000,426000,901,7090,4777,8659,7006,17
A,EXP_ABL_081_disable-post-ra,10,10.931798,0.058177,7.047847,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_082_disable-spill-fusing,10,10.863547,0.048947,7.085715,0.000000,419888,901,7090,4777,8659,7006,17
A,EXP_ABL_083_disable-strictnode-mutation,10,10.912021,0.021488,7.114690,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_DBL_0001,10,10.919664,0.013222,7.195463,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_DBL_0002,10,10.908877,0.018752,7.051230,0.000000,417520,901,7090,4777,8659,7006,17
A,EXP_DBL_0003,10,10.907830,0.064773,7.105766,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_DBL_0004,10,10.921138,0.026861,7.160231,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_DBL_0005,10,10.914929,0.026137,7.035760,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_DBL_0006,10,10.910480,0.029214,7.101795,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_DBL_0007,10,10.904418,0.012567,7.036756,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_DBL_0008,10,10.917962,0.037814,7.009452,0.000000,417520,901,7090,4777,8659,7006,17
A,EXP_DBL_0009,10,10.890245,0.018861,7.051296,0.000000,417264,901,7086,4775,8659,7008,17
A,EXP_DBL_000_BASELINE,10,10.923592,0.012092,7.161922,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_DBL_0010,10,10.886081,0.057864,7.053180,0.000000,417488,901,7090,4777,8659,7007,17
A,EXP_DBL_0011,10,10.922828,0.022974,7.142438,0.000000,417488,901,7091,4766,8659,6976,17
A,EXP_DBL_0012,10,10.907129,0.025093,7.071925,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_DBL_0013,10,10.522732,0.014426,6.575482,0.000000,416112,901,7090,4777,8659,7006,17
A,EXP_DBL_0014,10,11.467605,0.029416,6.980581,0.000000,415008,901,7090,4777,8659,7006,17
A,EXP_DBL_0015,10,10.916272,0.041974,7.041263,0.000000,417504,901,7090,4777,8659,7006,17
A,EXP_DBL_0016,10,10.920305,0.031819,7.148928,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_DBL_0017,10,10.768279,0.022810,6.951912,0.000000,409520,901,7090,4777,8659,7006,17
A,EXP_DBL_0018,10,11.557740,0.029531,7.140133,0.000000,419232,901,7090,4777,8659,7006,17
A,EXP_DBL_0019,10,10.904700,0.023861,7.058732,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_DBL_0020,10,10.918757,0.047504,7.107622,0.000000,417424,901,7090,4777,8659,7006,17
A,EXP_DBL_0021,10,10.887709,0.052544,7.004910,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_DBL_0022,10,10.913035,0.056383,7.068260,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_DBL_0023,10,10.910924,0.031018,7.003483,0.000000,417264,901,7090,4777,8659,7006,17
A,EXP_DBL_0024,10,10.882870,0.041244,7.132086,0.000000,417488,901,7090,4777,8659,7006,17
