Variant,ConfigName,n,runtime_med,runtime_iqr,compile_med,compile_iqr,size_med,alloca_med,load_med,store_med,gep_med,phi_med,bb_med
L,EXP_DBL_1556,10,4.418116,0.069767,0.555568,0.013274,452288,15,74,28,69,699,8
L,EXP_DBL_1557,10,4.387033,0.041765,0.558121,0.003779,452288,15,74,28,69,699,8
L,EXP_DBL_1558,10,4.109037,0.028551,0.559455,0.018766,452320,15,74,28,69,699,8
L,EXP_DBL_1559,10,4.395490,0.048982,0.557289,0.010559,452288,15,74,28,69,699,8
L,EXP_DBL_1560,10,4.399785,0.031960,0.556380,0.009046,452288,15,74,28,69,699,8
L,EXP_DBL_1561,10,4.396883,0.040201,0.543721,0.015374,452288,15,74,28,69,699,8
L,EXP_DBL_1562,10,4.403040,0.032024,0.546532,0.016526,452288,15,74,28,69,699,8
L,EXP_DBL_1563,10,4.420810,0.039201,0.546301,0.011989,452288,15,74,28,69,699,8
L,EXP_DBL_1564,10,4.461047,0.041912,0.556266,0.014643,452288,15,74,28,69,699,8
L,EXP_DBL_1565,10,4.440394,0.018535,0.553187,0.020243,452288,15,74,28,69,699,8
L,EXP_DBL_1566,10,4.290528,0.014147,0.554029,0.011250,452432,15,74,28,69,699,8
L,EXP_DBL_1567,10,4.419350,0.029707,0.547794,0.012426,452288,15,74,28,69,699,8
L,EXP_DBL_1568,10,4.424404,0.032462,0.548323,0.018347,452288,15,74,28,69,699,8
L,EXP_DBL_1569,10,4.440767,0.036683,0.552846,0.012780,452288,15,74,28,69,699,8
L,EXP_DBL_1570,10,4.444127,0.037014,0.560335,0.009516,452288,15,74,28,69,699,8
L,EXP_DBL_1571,10,4.438252,0.027127,0.554131,0.007055,452288,15,74,28,69,699,8
L,EXP_DBL_1572,10,4.451210,0.039119,0.556501,0.005538,452288,15,74,28,69,699,8
L,EXP_DBL_1573,10,4.413084,0.032082,0.562180,0.007416,452288,15,74,28,69,699,8
L,EXP_DBL_1574,10,4.416962,0.048684,0.561107,0.011593,452576,15,74,28,69,699,8
L,EXP_DBL_1575,10,4.432873,0.049233,0.557268,0.015804,452288,15,74,28,69,699,8
L,EXP_DBL_1576,10,4.403808,0.072675,0.563163,0.005006,452384,15,74,28,69,699,8
L,EXP_DBL_1577,10,4.443222,0.041615,0.561584,0.009796,452288,15,74,28,69,699,8
L,EXP_DBL_1578,10,4.423224,0.038781,0.563535,0.014053,452288,15,74,28,69,699,8
L,EXP_DBL_1579,10,4.431600,0.010385,0.564183,0.010172,452288,15,74,28,69,699,8
L,EXP_DBL_1580,10,4.428255,0.007694,0.568448,0.007522,452288,15,74,28,69,699,8
L,EXP_DBL_1581,10,4.435213,0.044779,0.565817,0.010375,452288,15,74,28,69,699,8
L,EXP_DBL_1582,10,4.430552,0.046018,0.568437,0.013165,452288,15,74,28,69,699,8
L,EXP_DBL_1583,10,4.451458,0.030596,0.566312,0.013171,452288,15,74,28,69,699,8
L,EXP_DBL_1584,10,4.424919,0.023896,0.564680,0.010176,452288,15,74,28,69,699,8
L,EXP_DBL_1585,10,4.389702,0.044872,0.563455,0.002092,452288,15,74,28,69,699,8
L,EXP_DBL_1586,10,4.414537,0.089491,0.566502,0.009089,452288,15,74,28,69,699,8
L,EXP_DBL_1587,10,4.411808,0.014644,0.562434,0.005123,452352,15,74,28,69,699,8
L,EXP_DBL_1588,10,3.796713,0.046774,0.402087,0.007234,451776,15,74,28,69,456,8
L,EXP_DBL_1589,10,4.447475,0.065756,0.568198,0.012460,452288,15,74,28,69,699,8
L,EXP_DBL_1590,10,4.171389,0.043081,0.564094,0.014300,452336,15,74,28,69,699,8
L,EXP_DBL_1591,10,4.277408,0.032982,0.559427,0.004999,452352,15,74,28,69,699,8
L,EXP_DBL_1592,10,4.438812,0.033695,0.571029,0.015189,452288,15,74,28,69,699,8
L,EXP_DBL_1593,10,4.429850,0.065209,0.562696,0.004587,452288,15,74,28,69,699,8
L,EXP_DBL_1594,10,4.716828,0.029122,0.564945,0.008434,451632,15,74,28,69,699,8
L,EXP_DBL_1595,10,4.239261,0.033012,0.563902,0.006504,452256,15,74,28,69,699,8
L,EXP_DBL_1596,10,4.424696,0.038458,0.564191,0.008182,452288,15,74,28,69,699,8
L,EXP_DBL_1597,10,4.429664,0.032300,0.554158,0.008204,452288,15,74,28,69,699,8
L,EXP_DBL_1598,10,4.413220,0.036565,0.560488,0.012666,452288,15,74,28,69,699,8
L,EXP_DBL_1599,10,4.408024,0.032737,0.564751,0.006129,452288,15,74,28,69,699,8
L,EXP_DBL_1600,10,3.587335,0.029405,0.556357,0.008179,451808,15,74,28,69,699,8
L,EXP_DBL_1601,10,4.445919,0.033411,0.556723,0.015082,452288,15,74,28,69,699,8
L,EXP_DBL_1602,10,4.411921,0.058666,0.561554,0.012839,452288,15,74,28,69,699,8
L,EXP_DBL_1603,10,4.406016,0.046549,0.567572,0.010606,452288,15,74,28,69,699,8
L,EXP_DBL_1604,10,4.441864,0.039035,0.561580,0.006094,452288,15,74,28,69,699,8
L,EXP_DBL_1605,10,4.450983,0.043940,0.566819,0.006988,452288,15,74,28,69,699,8
L,EXP_DBL_1606,10,4.419285,0.026566,0.565085,0.010800,452288,15,74,28,69,699,8
L,EXP_DBL_1607,10,4.430584,0.056748,0.565097,0.007186,452288,15,74,28,69,699,8
L,EXP_DBL_1608,10,4.426434,0.032607,0.560931,0.014684,452288,15,74,28,69,699,8
L,EXP_DBL_1609,10,4.423235,0.022641,0.564277,0.010559,452288,15,74,28,69,699,8
L,EXP_DBL_1610,10,4.438250,0.051044,0.562409,0.010729,452288,15,74,28,69,699,8
L,EXP_DBL_1611,10,4.417134,0.032155,0.558013,0.014622,452288,15,74,28,69,699,8
L,EXP_DBL_1612,10,4.408893,0.053260,0.563204,0.010820,452288,15,74,28,69,699,8
L,EXP_DBL_1613,10,4.426462,0.033747,0.559370,0.010187,452288,15,74,28,69,699,8
L,EXP_DBL_1614,10,4.430406,0.031515,0.564443,0.011186,452288,15,74,28,69,699,8
L,EXP_DBL_1615,10,4.468346,0.041235,0.567555,0.015194,452288,15,74,28,69,699,8
L,EXP_DBL_1616,10,4.437098,0.024085,0.564762,0.005351,452288,15,74,28,69,699,8
L,EXP_DBL_1617,10,4.427226,0.024624,0.570488,0.004707,452288,15,74,28,69,699,8
L,EXP_DBL_1618,10,4.632570,0.055984,0.564634,0.007784,452336,15,74,28,69,699,8
L,EXP_DBL_1619,10,4.448233,0.058662,0.559718,0.013914,452288,15,74,28,69,699,8
L,EXP_DBL_1620,10,4.430995,0.023595,0.565341,0.008701,452288,15,74,28,69,699,8
L,EXP_DBL_1621,10,4.439640,0.022652,0.560516,0.014454,452288,15,74,28,69,699,8
L,EXP_DBL_1622,10,4.134033,0.061082,0.567773,0.010694,452272,15,74,28,69,699,8
L,EXP_DBL_1623,10,4.203192,0.037440,0.563462,0.022567,452256,15,74,28,69,699,8
L,EXP_DBL_1624,10,4.439639,0.036085,0.566698,0.013060,452288,15,74,28,69,699,8
L,EXP_DBL_1625,10,4.433574,0.035232,0.567152,0.008356,452288,15,74,28,69,699,8
L,EXP_DBL_1626,10,4.418031,0.040513,0.559802,0.012891,452288,15,74,28,69,699,8
L,EXP_DBL_1627,10,4.305012,0.042996,0.561061,0.014093,451840,15,74,28,69,699,8
L,EXP_DBL_1628,10,4.114178,0.049545,0.566712,0.004551,452272,15,74,28,69,699,8
L,EXP_DBL_1629,10,4.456941,0.031659,0.557241,0.015906,452288,15,74,28,69,699,8
L,EXP_DBL_1630,10,4.428565,0.018379,0.562998,0.014876,452288,15,74,28,69,699,8
L,EXP_DBL_1631,10,4.168176,0.035717,0.566183,0.008285,452336,15,74,28,69,699,8
L,EXP_DBL_1632,10,4.420573,0.043597,0.564043,0.008950,452288,15,74,28,69,699,8
L,EXP_DBL_1633,10,4.414986,0.044695,0.562790,0.014588,452288,15,74,28,69,699,8
L,EXP_DBL_1634,10,4.420542,0.047133,0.567334,0.013815,452288,15,74,28,69,699,8
L,EXP_DBL_1635,10,4.415095,0.055294,0.564841,0.009391,452288,15,74,28,69,699,8
L,EXP_DBL_1636,10,4.403173,0.051454,0.567360,0.017033,452288,15,74,28,69,699,8
L,EXP_DBL_1637,10,4.426980,0.047155,0.565381,0.011030,452288,15,74,28,69,699,8
