Variant,ConfigName,n,runtime_med,runtime_iqr,runtime_iqr_ratio,compile_med,compile_iqr,compile_iqr_ratio,size_med
L,EXP_DBL_1623,10,4.203192,0.037440,0.008908,0.563462,0.022567,0.040051,452256
L,EXP_DBL_1563,10,4.420810,0.039201,0.008867,0.546301,0.011989,0.021946,452288
L,EXP_DBL_1652,10,4.427452,0.039057,0.008822,0.565968,0.006052,0.010693,452288
L,EXP_DBL_1572,10,4.451210,0.039119,0.008788,0.556501,0.005538,0.009951,452288
L,EXP_DBL_1604,10,4.441864,0.039035,0.008788,0.561580,0.006094,0.010852,452288
L,EXP_DBL_1543,10,4.417405,0.038802,0.008784,0.555358,0.013113,0.023612,452288
L,EXP_DBL_1578,10,4.423224,0.038781,0.008768,0.563535,0.014053,0.024937,452288
B,EXP_DBL_1652,10,4.492362,0.039299,0.008748,0.565968,0.006052,0.010693,452288
B,EXP_DBL_1644,10,4.493504,0.039069,0.008695,0.568624,0.012120,0.021315,452288
L,EXP_DBL_1596,10,4.424696,0.038458,0.008692,0.564191,0.008182,0.014502,452288
B,EXP_DBL_1658,10,4.490017,0.038513,0.008577,0.561222,0.008543,0.015222,452288
B,EXP_DBL_1607,10,4.488634,0.038471,0.008571,0.565097,0.007186,0.012716,452288
L,EXP_DBL_1631,10,4.168176,0.035717,0.008569,0.566183,0.008285,0.014633,452336
B,EXP_DBL_1593,10,4.529234,0.038755,0.008557,0.562696,0.004587,0.008152,452288
B,EXP_DBL_1585,10,4.457066,0.038033,0.008533,0.563455,0.002092,0.003713,452288
B,EXP_DBL_1572,10,4.499450,0.037770,0.008394,0.556501,0.005538,0.009951,452288
S,EXP_DBL_1601,10,4.089711,0.034327,0.008394,0.556723,0.015082,0.027091,452288
S,EXP_DBL_1635,10,4.125951,0.034547,0.008373,0.564841,0.009391,0.016626,452288
L,EXP_DBL_1545,10,4.124284,0.034515,0.008369,0.554782,0.004350,0.007841,452272
L,EXP_DBL_1570,10,4.444127,0.037014,0.008329,0.560335,0.009516,0.016983,452288
S,EXP_DBL_1549,10,4.055707,0.033775,0.008328,0.559490,0.008310,0.014853,452288
B,EXP_DBL_1592,10,4.505789,0.037481,0.008318,0.571029,0.015189,0.026599,452288
L,EXP_DBL_1598,10,4.413220,0.036565,0.008285,0.560488,0.012666,0.022598,452288
B,EXP_DBL_1601,10,4.518719,0.037391,0.008275,0.556723,0.015082,0.027091,452288
L,EXP_DBL_1569,10,4.440767,0.036683,0.008261,0.552846,0.012780,0.023117,452288
B,EXP_DBL_1588,10,4.169828,0.034368,0.008242,0.402087,0.007234,0.017991,451776
L,EXP_DBL_1600,10,3.587335,0.029405,0.008197,0.556357,0.008179,0.014701,451808
B,EXP_DBL_1597,10,4.503410,0.036787,0.008169,0.554158,0.008204,0.014804,452288
B,EXP_DBL_1624,10,4.444253,0.036260,0.008159,0.566698,0.013060,0.023046,452288
B,EXP_DBL_1564,10,4.485312,0.036533,0.008145,0.556266,0.014643,0.026324,452288
L,EXP_DBL_1624,10,4.439639,0.036085,0.008128,0.566698,0.013060,0.023046,452288
B,EXP_DBL_1615,10,4.496979,0.036539,0.008125,0.567555,0.015194,0.026771,452288
B,EXP_DBL_1636,10,4.503580,0.036508,0.008106,0.567360,0.017033,0.030022,452288
S,EXP_DBL_1615,10,4.128185,0.033115,0.008022,0.567555,0.015194,0.026771,452288
S,EXP_DBL_1600,10,3.865361,0.031007,0.008022,0.556357,0.008179,0.014701,451808
S,EXP_DBL_1652,10,4.094730,0.032757,0.008000,0.565968,0.006052,0.010693,452288
S,EXP_DBL_1548,10,4.035594,0.032190,0.007977,0.556862,0.012604,0.022634,452336
L,EXP_DBL_1649,10,4.294823,0.034219,0.007967,0.563620,0.009573,0.016985,452432
L,EXP_DBL_1625,10,4.433574,0.035232,0.007947,0.567152,0.008356,0.014733,452288
S,EXP_DBL_1581,10,4.113050,0.032521,0.007907,0.565817,0.010375,0.018336,452288
B,EXP_DBL_1576,10,4.456155,0.035158,0.007890,0.563163,0.005006,0.008889,452384
B,EXP_DBL_1565,10,4.504580,0.035312,0.007839,0.553187,0.020243,0.036593,452288
S,EXP_DBL_1657,10,4.135784,0.032218,0.007790,0.562463,0.006754,0.012008,452576
L,EXP_DBL_1595,10,4.239261,0.033012,0.007787,0.563902,0.006504,0.011534,452256
S,EXP_DBL_1650,10,4.124925,0.032053,0.007771,0.561209,0.012520,0.022309,452288
S,EXP_DBL_1552,10,4.009700,0.031140,0.007766,0.554551,0.013856,0.024986,452288
L,EXP_DBL_1591,10,4.277408,0.032982,0.007711,0.559427,0.004999,0.008936,452352
B,EXP_DBL_1578,10,4.521337,0.034802,0.007697,0.563535,0.014053,0.024937,452288
B,EXP_DBL_1630,10,4.503125,0.034640,0.007692,0.562998,0.014876,0.026423,452288
B,EXP_DBL_1642,10,4.508279,0.034391,0.007628,0.561342,0.014904,0.026551,452288
B,EXP_DBL_1571,10,4.501435,0.034332,0.007627,0.554131,0.007055,0.012732,452288
L,EXP_DBL_1613,10,4.426462,0.033747,0.007624,0.559370,0.010187,0.018212,452288
L,EXP_DBL_1592,10,4.438812,0.033695,0.007591,0.571029,0.015189,0.026599,452288
L,EXP_DBL_1601,10,4.445919,0.033411,0.007515,0.556723,0.015082,0.027091,452288
S,EXP_DBL_1625,10,4.120908,0.030745,0.007461,0.567152,0.008356,0.014733,452288
L,EXP_DBL_1599,10,4.408024,0.032737,0.007427,0.564751,0.006129,0.010853,452288
B,EXP_DBL_1579,10,4.503106,0.033295,0.007394,0.564183,0.010172,0.018030,452288
L,EXP_DBL_1643,10,4.441935,0.032726,0.007368,0.565247,0.013662,0.024170,452288
L,EXP_DBL_1608,10,4.426434,0.032607,0.007366,0.560931,0.014684,0.026178,452288
