Variant,ConfigName,n,runtime_mean,runtime_med,runtime_iqr,runtime_iqr_ratio,compile_mean,compile_med,compile_iqr,compile_iqr_ratio,size_mean,size_med
quinn,EXP_DBL_0930,10,5.560589,5.568062,0.128631,0.023102,50.842025,50.842025,0.000000,0.000000,87557520.000000,87557520
quinn,EXP_DBL_0918,10,5.558799,5.566237,0.128220,0.023035,49.053368,49.053368,0.000000,0.000000,89794904.000000,89794904
quinn,EXP_DBL_0805,10,5.624492,5.647348,0.129707,0.022968,49.031677,49.031677,0.000000,0.000000,89742872.000000,89742872
quinn,EXP_DBL_0589,10,5.584891,5.587109,0.128285,0.022961,50.471914,50.471914,0.000000,0.000000,89749200.000000,89749200
quinn,EXP_DBL_1376,10,5.590350,5.582916,0.128124,0.022949,48.731108,48.731108,0.000000,0.000000,89797976.000000,89797976
quinn,EXP_DBL_1491,10,5.800551,5.778338,0.132527,0.022935,53.179294,53.179294,0.000000,0.000000,90262328.000000,90262328
quinn,EXP_DBL_1493,10,5.822707,5.856284,0.134280,0.022929,52.843387,52.843387,0.000000,0.000000,90259568.000000,90259568
quinn,EXP_DBL_0449,10,5.527551,5.553219,0.127302,0.022924,48.860479,48.860479,0.000000,0.000000,89651496.000000,89651496
quinn,EXP_DBL_1625,10,5.648490,5.654628,0.129563,0.022913,55.054953,55.054953,0.000000,0.000000,89742872.000000,89742872
quinn,EXP_DBL_1225,10,5.635226,5.623933,0.128832,0.022908,61.225020,61.225020,0.000000,0.000000,90022992.000000,90022992
quinn,EXP_DBL_0146,10,5.513374,5.466404,0.125186,0.022901,48.190579,48.190579,0.000000,0.000000,89742256.000000,89742256
quinn,EXP_DBL_0964,10,5.847546,5.854113,0.133795,0.022855,60.388872,60.388872,0.000000,0.000000,89754088.000000,89754088
quinn,EXP_DBL_1455,10,5.722576,5.725331,0.130631,0.022816,50.840311,50.840311,0.000000,0.000000,89998888.000000,89998888
quinn,EXP_DBL_0611,10,5.507420,5.494090,0.125323,0.022811,50.565928,50.565928,0.000000,0.000000,89742872.000000,89742872
quinn,EXP_DBL_0565,10,5.588510,5.595235,0.127627,0.022810,48.242732,48.242732,0.000000,0.000000,89742872.000000,89742872
quinn,EXP_DBL_0587,10,5.638256,5.615740,0.127958,0.022786,48.766407,48.766407,0.000000,0.000000,89742872.000000,89742872
quinn,EXP_DBL_1519,10,5.919134,5.938728,0.134983,0.022729,54.204359,54.204359,0.000000,0.000000,89760288.000000,89760288
quinn,EXP_DBL_0600,10,5.566692,5.550071,0.126114,0.022723,50.964042,50.964042,0.000000,0.000000,89743528.000000,89743528
quinn,EXP_DBL_0472,10,5.637057,5.640548,0.128049,0.022702,50.107368,50.107368,0.000000,0.000000,89651496.000000,89651496
quinn,EXP_DBL_1589,10,5.674624,5.651819,0.128282,0.022697,54.147664,54.147664,0.000000,0.000000,89742872.000000,89742872
quinn,EXP_DBL_0158,10,5.636864,5.646045,0.128136,0.022695,49.047542,49.047542,0.000000,0.000000,89742872.000000,89742872
quinn,EXP_DBL_0188,10,5.589171,5.551913,0.125997,0.022694,49.734126,49.734126,0.000000,0.000000,89490728.000000,89490728
quinn,EXP_DBL_0141,10,5.658269,5.650384,0.128179,0.022685,49.189433,49.189433,0.000000,0.000000,89742872.000000,89742872
quinn,EXP_DBL_1349,10,5.587446,5.564736,0.126141,0.022668,55.036472,55.036472,0.000000,0.000000,89797976.000000,89797976
quinn,EXP_DBL_1330,10,5.469393,5.482231,0.124084,0.022634,49.178821,49.178821,0.000000,0.000000,89797920.000000,89797920
quinn,EXP_DBL_0260,10,5.534490,5.537656,0.125282,0.022624,50.258687,50.258687,0.000000,0.000000,89573032.000000,89573032
quinn,EXP_DBL_0417,10,5.518003,5.533941,0.125141,0.022613,49.024960,49.024960,0.000000,0.000000,89651448.000000,89651448
quinn,EXP_DBL_0315,10,5.586111,5.596737,0.126461,0.022595,48.398031,48.398031,0.000000,0.000000,89576640.000000,89576640
quinn,EXP_DBL_0548,10,5.591880,5.561939,0.125659,0.022593,49.975586,49.975586,0.000000,0.000000,89692552.000000,89692552
quinn,EXP_ABL_030_disable-ifcvt-triangle-rev,10,5.827622,5.824200,0.131466,0.022572,50.081681,50.081681,0.000000,0.000000,89742872.000000,89742872
quinn,EXP_DBL_0313,10,5.513570,5.533710,0.124732,0.022540,48.454163,48.454163,0.000000,0.000000,89644400.000000,89644400
quinn,EXP_DBL_1399,10,5.491562,5.502888,0.123885,0.022513,50.140532,50.140532,0.000000,0.000000,89797976.000000,89797976
quinn,EXP_DBL_0278,10,5.553283,5.528139,0.124448,0.022512,50.320785,50.320785,0.000000,0.000000,89576640.000000,89576640
quinn,EXP_DBL_0815,10,5.601486,5.571381,0.125269,0.022484,50.118114,50.118114,0.000000,0.000000,89742872.000000,89742872
quinn,EXP_DBL_0192,10,5.575002,5.564449,0.125079,0.022478,49.768234,49.768234,0.000000,0.000000,89490728.000000,89490728
