Variant,ConfigName,n,runtime_mean,runtime_med,runtime_iqr,compile_mean,compile_med,compile_iqr,size_mean,size_med,alloca_mean,alloca_med,load_mean,load_med,store_mean,store_med,gep_mean,gep_med,phi_mean,phi_med,bb_mean,bb_med
regex-cli,EXP_ABL_038_disable-cgp-delete-phis,10,3.771142,3.778223,0.112866,41.249184,41.244153,0.497658,34529160.000000,34529160,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_039_disable-cleanups,10,3.704855,3.691333,0.020871,41.180824,41.142122,0.636948,34529072.000000,34529072,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_040_disable-constant-hoisting,10,3.824124,3.835523,0.097420,40.904691,40.809680,0.427983,34527320.000000,34527320,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_041_disable-copyprop,10,3.823113,3.833063,0.083971,41.156683,41.066631,0.485220,34524000.000000,34524000,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_042_disable-demotion,10,3.755040,3.751803,0.062900,41.027312,40.990440,0.341590,34529072.000000,34529072,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_043_disable-gep-const-evaluation,10,3.746384,3.755306,0.088624,41.161860,41.056374,0.580159,34529072.000000,34529072,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_044_disable-icp,10,3.785083,3.784553,0.024242,41.145732,41.215895,0.660437,34529072.000000,34529072,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_045_disable-machine-cse,10,3.746332,3.721201,0.057212,41.094132,41.040135,0.568345,34671400.000000,34671400,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_046_disable-machine-dce,10,3.788292,3.805071,0.083033,41.081923,41.127795,0.648413,34525472.000000,34525472,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_047_disable-machine-sink,10,3.799941,3.805245,0.046650,40.951465,40.942129,0.299015,34700816.000000,34700816,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
