Variant,ConfigName,n,runtime_mean,runtime_med,runtime_iqr,runtime_iqr_ratio,compile_mean,compile_med,compile_iqr,compile_iqr_ratio,size_mean,size_med
regex-cli,EXP_DBL_1646,10,3.731161,3.699104,0.099724,0.026959,40.859053,40.897079,0.488360,0.011941,34529072.000000,34529072
regex-cli,EXP_DBL_1370,10,3.797250,3.788169,0.102113,0.026956,41.973156,41.980137,0.450064,0.010721,34518944.000000,34518944
regex-cli,EXP_DBL_0604,10,3.779986,3.780234,0.101890,0.026953,40.359657,40.307643,0.362431,0.008992,34527568.000000,34527568
regex-cli,EXP_DBL_0146,10,3.745240,3.747059,0.100829,0.026909,41.401934,41.212469,0.650643,0.015788,34529072.000000,34529072
regex-cli,EXP_DBL_0540,10,3.765584,3.771069,0.101469,0.026907,40.383864,40.352075,0.238541,0.005911,34529072.000000,34529072
regex-cli,EXP_DBL_0931,10,3.831346,3.856942,0.103761,0.026902,41.119947,41.100229,0.351829,0.008560,34875368.000000,34875368
regex-cli,EXP_DBL_0431,10,3.803340,3.778066,0.101583,0.026888,41.473849,41.321999,0.445277,0.010776,34516320.000000,34516320
regex-cli,EXP_DBL_1660,10,3.776089,3.777859,0.101508,0.026869,41.519120,41.570516,0.358993,0.008636,34529072.000000,34529072
regex-cli,EXP_DBL_0831,10,3.900363,3.900950,0.104779,0.026860,40.786021,40.729455,0.631590,0.015507,33071040.000000,33071040
regex-cli,EXP_DBL_0080,10,3.818748,3.818414,0.102537,0.026853,42.194374,42.160568,0.487334,0.011559,34598224.000000,34598224
regex-cli,EXP_DBL_0603,10,3.748171,3.732074,0.100166,0.026839,40.411669,40.481813,0.245013,0.006052,34529072.000000,34529072
regex-cli,EXP_DBL_0334,10,3.773132,3.790917,0.101670,0.026819,40.856692,40.875850,0.268927,0.006579,34511272.000000,34511272
regex-cli,EXP_DBL_0458,10,3.743307,3.731358,0.100070,0.026819,40.216793,40.134040,0.378735,0.009437,34528976.000000,34528976
regex-cli,EXP_DBL_0142,10,3.751945,3.725930,0.099913,0.026816,41.297417,41.320054,0.910109,0.022026,34529072.000000,34529072
regex-cli,EXP_DBL_0936,10,3.765360,3.748309,0.100487,0.026809,41.361874,41.256452,0.352845,0.008552,34539632.000000,34539632
regex-cli,EXP_DBL_0664,10,3.746887,3.750369,0.100506,0.026799,40.333016,40.413040,0.336936,0.008337,34529072.000000,34529072
regex-cli,EXP_DBL_1075,10,3.752031,3.748219,0.100393,0.026784,40.857745,40.891726,0.264852,0.006477,34533336.000000,34533336
regex-cli,EXP_DBL_1143,10,3.902251,3.871794,0.103633,0.026766,40.485780,40.573936,0.475628,0.011723,34302656.000000,34302656
regex-cli,EXP_DBL_1622,10,3.757251,3.725242,0.099662,0.026753,40.498005,40.464982,0.599015,0.014803,34671400.000000,34671400
regex-cli,EXP_DBL_0559,10,3.795845,3.793985,0.101480,0.026748,40.793706,40.780138,0.234666,0.005754,34529072.000000,34529072
regex-cli,EXP_DBL_0943,10,3.768944,3.763537,0.100655,0.026745,41.110927,40.924315,0.475416,0.011617,34541128.000000,34541128
regex-cli,EXP_DBL_0729,10,3.785535,3.770570,0.100809,0.026736,40.881333,40.901923,0.554457,0.013556,34537040.000000,34537040
regex-cli,EXP_ABL_059_disable-cgdata-for-merging,10,3.741594,3.735005,0.099793,0.026718,41.388364,41.397205,0.422609,0.010209,34529072.000000,34529072
regex-cli,EXP_DBL_0696,10,3.798047,3.791789,0.101237,0.026699,41.102355,41.154425,0.583306,0.014174,34531360.000000,34531360
regex-cli,EXP_DBL_1309,10,3.847940,3.833537,0.102242,0.026670,40.463697,40.402987,0.420321,0.010403,34468352.000000,34468352
regex-cli,EXP_DBL_0659,10,3.737840,3.715717,0.099070,0.026662,40.377797,40.321880,0.352246,0.008736,34529072.000000,34529072
regex-cli,EXP_DBL_1012,10,3.781515,3.767596,0.100410,0.026651,40.779972,40.847088,0.321151,0.007862,34520688.000000,34520688
regex-cli,EXP_DBL_0252,10,3.791018,3.807887,0.101349,0.026616,41.098489,41.210570,0.710408,0.017238,34501952.000000,34501952
regex-cli,EXP_DBL_1441,10,3.798929,3.807358,0.101315,0.026610,45.287855,45.303420,0.114194,0.002521,34521400.000000,34521400
regex-cli,EXP_DBL_1504,10,3.772966,3.769478,0.100186,0.026578,40.862839,40.841333,0.662069,0.016211,34497864.000000,34497864
regex-cli,EXP_DBL_1032,10,3.750065,3.746238,0.099524,0.026566,40.816618,40.862513,0.369667,0.009047,34533336.000000,34533336
regex-cli,EXP_DBL_0890,10,3.897006,3.898562,0.103538,0.026558,41.087036,41.035416,0.298386,0.007271,33071040.000000,33071040
regex-cli,EXP_DBL_0829,10,3.781582,3.805935,0.101066,0.026555,40.533285,40.462322,0.310641,0.007677,34640816.000000,34640816
regex-cli,EXP_DBL_0985,10,3.789776,3.761661,0.099731,0.026512,40.626168,40.652264,0.238962,0.005878,34671624.000000,34671624
regex-cli,EXP_DBL_1609,10,3.826884,3.832638,0.101565,0.026500,40.672446,40.620351,0.396910,0.009771,34520520.000000,34520520
regex-cli,EXP_DBL_0784,10,3.784671,3.805781,0.100707,0.026462,40.770262,40.743220,0.326696,0.008018,34530320.000000,34530320
regex-cli,EXP_DBL_0883,10,3.925649,3.904157,0.103283,0.026455,41.287351,41.307802,0.406123,0.009832,33071040.000000,33071040
regex-cli,EXP_DBL_1248,10,3.780382,3.763101,0.099528,0.026448,41.504562,41.489254,0.511643,0.012332,34463808.000000,34463808
regex-cli,EXP_DBL_0253,10,3.788980,3.773871,0.099708,0.026421,40.997820,40.912425,0.455965,0.011145,34501952.000000,34501952
regex-cli,EXP_DBL_1587,10,3.806213,3.819507,0.100897,0.026416,40.439566,40.455817,0.561047,0.013868,34519952.000000,34519952
regex-cli,EXP_DBL_1585,10,3.737367,3.725840,0.098336,0.026393,40.399481,40.371630,0.322569,0.007990,34529528.000000,34529528
regex-cli,EXP_DBL_1602,10,3.737220,3.736015,0.098586,0.026388,40.667279,40.708279,0.208783,0.005129,34529072.000000,34529072
regex-cli,EXP_DBL_0834,10,3.895361,3.900543,0.102809,0.026358,40.662256,40.549632,0.637273,0.015716,33071040.000000,33071040
regex-cli,EXP_DBL_0007,10,3.777604,3.800143,0.100118,0.026346,41.163362,41.171057,0.257734,0.006260,34477480.000000,34477480
regex-cli,EXP_DBL_0018,10,3.798629,3.821414,0.100606,0.026327,41.083573,41.057110,0.382492,0.009316,34810472.000000,34810472
regex-cli,EXP_ABL_006_EarlyOtherwiseBranch,10,3.738925,3.718995,0.097657,0.026259,40.184514,40.120128,0.429043,0.010694,34528976.000000,34528976
regex-cli,EXP_DBL_0323,10,3.806446,3.829117,0.100502,0.026247,41.238106,41.234956,0.536189,0.013003,34522728.000000,34522728
regex-cli,EXP_DBL_1077,10,3.756363,3.774349,0.099000,0.026230,40.693292,40.663620,0.594446,0.014619,34533336.000000,34533336
regex-cli,EXP_DBL_1245,10,3.764053,3.748200,0.098268,0.026217,41.843264,41.866843,0.894669,0.021369,34528624.000000,34528624
regex-cli,EXP_DBL_0136,10,3.746615,3.738187,0.097882,0.026184,41.674370,41.712556,0.501872,0.012032,34529072.000000,34529072
regex-cli,EXP_DBL_1424,10,3.816829,3.804535,0.099454,0.026141,40.739432,40.768225,0.878111,0.021539,34569192.000000,34569192
regex-cli,EXP_DBL_0316,10,3.774862,3.764025,0.098295,0.026114,41.252336,41.154632,0.164060,0.003986,34501952.000000,34501952
regex-cli,EXP_DBL_0688,10,3.810216,3.800973,0.099220,0.026104,41.234975,41.141713,1.569093,0.038139,34537040.000000,34537040
regex-cli,EXP_DBL_0680,10,3.767985,3.745823,0.097666,0.026073,40.199112,40.154964,0.440896,0.010980,34533592.000000,34533592
regex-cli,EXP_DBL_0589,10,3.755889,3.730186,0.097251,0.026071,40.410581,40.412724,0.351573,0.008700,34529528.000000,34529528
regex-cli,EXP_DBL_0612,10,3.732170,3.703320,0.096538,0.026068,40.313846,40.434821,0.434619,0.010749,34529072.000000,34529072
regex-cli,EXP_DBL_0163,10,3.817476,3.830611,0.099840,0.026064,40.508976,40.530718,0.423505,0.010449,34651384.000000,34651384
regex-cli,EXP_DBL_1132,10,3.867895,3.870941,0.100842,0.026051,40.701588,40.668211,0.363658,0.008942,34313032.000000,34313032
regex-cli,EXP_DBL_1506,10,3.749775,3.722376,0.096911,0.026035,40.903510,40.923386,0.645216,0.015766,34505240.000000,34505240
regex-cli,EXP_DBL_1392,10,3.755179,3.724495,0.096933,0.026026,41.798642,41.832672,0.557443,0.013326,34528280.000000,34528280
regex-cli,EXP_DBL_0349,10,3.831409,3.839673,0.099870,0.026010,40.979538,40.876112,0.501562,0.012270,33695672.000000,33695672
regex-cli,EXP_DBL_0124,10,3.815739,3.819658,0.099339,0.026007,41.376632,41.364575,0.674025,0.016295,34524000.000000,34524000
regex-cli,EXP_DBL_1338,10,3.791641,3.776866,0.098170,0.025992,41.283114,41.342894,0.260076,0.006291,34511640.000000,34511640
regex-cli,EXP_DBL_0047,10,3.769114,3.763637,0.097818,0.025990,41.210244,41.263497,0.339044,0.008217,34651912.000000,34651912
regex-cli,EXP_DBL_1521,10,3.800751,3.814667,0.099137,0.025988,40.809101,40.836208,0.885447,0.021683,34505240.000000,34505240
regex-cli,EXP_DBL_1465,10,3.807531,3.797873,0.098669,0.025980,45.083522,45.032626,0.221660,0.004922,34583856.000000,34583856
regex-cli,EXP_DBL_0264,10,3.807304,3.833882,0.099557,0.025968,41.503030,41.230962,0.439506,0.010660,34502264.000000,34502264
regex-cli,EXP_DBL_1643,10,3.724642,3.717916,0.096541,0.025966,40.813712,40.914263,0.471504,0.011524,34529072.000000,34529072
