Variant,ConfigName,n,runtime_med,compile_med,size_med,alloca_med,load_med,store_med,gep_med,phi_med,bb_med
A,EXP_DBL_0120,3,3.565200,1.030521,449968,17,65,31,54,71,13
A,EXP_DBL_0121,3,3.330111,0.947571,449968,17,65,31,54,71,13
A,EXP_DBL_0122,3,3.367403,0.927400,449968,17,65,31,54,71,13
A,EXP_DBL_0123,3,4.200584,0.946724,449952,17,65,31,54,71,13
A,EXP_DBL_0124,3,3.286566,2.697170,449968,17,65,31,54,71,13
A,EXP_DBL_0125,3,3.220029,2.524798,449968,17,65,31,54,71,13
A,EXP_DBL_0126,3,3.204568,2.080606,449968,17,65,31,54,71,13
A,EXP_DBL_0127,3,3.351515,0.967460,449968,17,65,31,54,71,13
A,EXP_DBL_0128,3,3.221869,0.980670,449984,17,65,31,54,71,13
A,EXP_DBL_0129,3,3.352885,0.946080,450000,17,65,31,54,71,13
A,EXP_DBL_0130,3,3.305005,0.917167,449968,17,65,31,54,71,13
A,EXP_DBL_0131,3,3.175086,0.900316,449968,17,65,31,54,71,13
A,EXP_DBL_0132,3,3.339820,0.979488,449968,17,65,31,54,71,13
A,EXP_DBL_0133,3,3.006559,0.877885,449952,17,65,31,54,71,13
A,EXP_DBL_0134,3,2.353886,0.819521,449968,17,65,31,54,71,13
A,EXP_DBL_0135,3,3.256029,0.914881,449968,17,65,31,54,71,13
A,EXP_DBL_0136,3,3.312750,0.965711,449968,17,65,31,54,71,13
A,EXP_DBL_0137,3,3.218577,0.927638,449968,17,65,31,54,71,13
A,EXP_DBL_0138,3,3.255704,0.938620,449968,17,65,31,54,71,13
A,EXP_DBL_0139,3,3.221087,1.027268,449968,17,65,31,54,71,13
A,EXP_DBL_0140,3,3.210409,1.070052,449968,17,65,31,54,71,13
A,EXP_DBL_0141,3,3.280906,0.916587,449968,17,65,31,54,71,13
A,EXP_DBL_0142,3,3.218159,0.947125,449968,17,65,31,54,71,13
A,EXP_DBL_0143,3,3.217976,0.963047,449968,17,65,31,54,71,13
A,EXP_DBL_0144,3,3.339116,0.941776,449968,17,65,31,54,71,13
A,EXP_DBL_0145,3,3.302720,0.903393,449968,17,65,31,54,71,13
A,EXP_DBL_0146,3,3.206693,0.883186,449968,17,65,31,54,71,13
A,EXP_DBL_0147,3,3.249055,0.897691,450000,17,65,31,54,71,13
A,EXP_DBL_0148,3,3.211046,0.978316,449968,17,65,31,54,71,13
A,EXP_DBL_0149,3,3.301317,1.016256,449968,17,65,31,54,71,13
A,EXP_DBL_0150,3,3.393222,0.980375,449968,17,65,31,54,71,13
A,EXP_DBL_0151,3,3.177404,0.954220,449968,17,65,31,54,71,13
A,EXP_DBL_0152,3,3.223076,0.956321,449968,17,65,31,54,71,13
A,EXP_DBL_0153,3,3.197888,0.912774,449968,17,65,31,54,71,13
A,EXP_DBL_0154,3,3.295115,0.929172,449968,17,65,31,54,71,13
A,EXP_DBL_0155,3,3.158799,0.925458,449984,17,65,31,54,71,13
A,EXP_DBL_0156,3,3.193696,0.897987,449968,17,65,31,54,71,13
A,EXP_DBL_0157,3,3.222318,0.927735,449968,17,65,31,54,71,13
A,EXP_DBL_0158,3,3.123276,0.921712,449968,17,65,31,54,71,13
A,EXP_DBL_0159,3,3.310099,0.977687,449968,17,65,31,54,71,13
A,EXP_DBL_0160,3,3.257433,0.910870,449968,17,65,31,54,71,13
A,EXP_DBL_0161,3,3.279747,0.947193,449968,17,65,31,54,71,13
A,EXP_DBL_0162,3,3.275497,0.890514,449968,17,65,31,54,71,13
A,EXP_DBL_0163,3,3.218510,0.973421,450144,17,65,31,54,71,13
A,EXP_DBL_0164,3,3.211354,0.936407,449968,17,65,31,54,71,13
A,EXP_DBL_0165,3,3.231385,0.907495,449984,17,65,31,54,71,13
A,EXP_DBL_0166,3,3.183189,0.895680,449968,17,65,31,54,71,13
A,EXP_DBL_0167,3,3.236604,0.949803,449952,17,65,31,54,71,13
A,EXP_DBL_0168,3,3.223050,0.879244,449952,17,65,31,54,71,13
A,EXP_DBL_0169,3,2.491465,0.786404,449952,17,65,31,54,71,13
A,EXP_DBL_0170,3,3.142487,0.920638,449952,17,65,31,54,71,13
A,EXP_DBL_0171,3,3.217701,1.028588,449952,17,65,31,54,71,13
A,EXP_DBL_0172,3,3.292437,0.950563,449952,17,65,31,54,71,13
A,EXP_DBL_0173,3,3.186533,0.992434,449952,17,65,31,54,71,13
A,EXP_DBL_0174,3,3.172565,0.972261,449952,17,65,31,54,71,13
A,EXP_DBL_0175,3,3.330874,0.968190,449952,17,65,31,54,71,13
A,EXP_DBL_0176,3,3.232445,0.932631,449952,17,65,31,54,71,13
A,EXP_DBL_0177,3,3.274471,0.929267,449952,17,65,31,54,71,13
A,EXP_DBL_0178,3,3.258754,0.975994,449952,17,65,31,54,71,13
A,EXP_DBL_0179,3,3.176008,0.916144,449968,17,65,31,54,71,13
A,EXP_DBL_0180,3,3.273964,0.968238,449904,17,65,31,54,71,13
A,EXP_DBL_0181,3,3.330351,0.970720,449952,17,65,31,54,71,13
A,EXP_DBL_0182,3,3.286994,0.963061,449952,17,65,31,54,71,13
A,EXP_DBL_0183,3,3.238617,0.919669,449840,17,65,31,54,71,13
A,EXP_DBL_0184,3,3.196703,0.927543,449936,17,65,31,54,71,13
A,EXP_DBL_0185,3,3.394405,0.929439,449952,17,65,31,54,71,13
A,EXP_DBL_0186,3,3.248081,0.970469,449952,17,65,31,54,71,13
A,EXP_DBL_0187,3,3.194414,0.990171,449952,17,65,31,54,71,13
A,EXP_DBL_0188,3,3.227494,0.978268,449952,17,65,31,54,71,13
A,EXP_DBL_0189,3,3.267041,0.982934,449952,17,65,31,54,71,13
A,EXP_DBL_0190,3,3.457152,0.898477,449952,17,65,31,54,71,13
A,EXP_DBL_0191,3,3.331059,0.964152,449952,17,65,31,54,71,13
A,EXP_DBL_0192,3,3.362709,0.979274,449952,17,65,31,54,71,13
A,EXP_DBL_0193,3,3.291686,0.948232,449952,17,65,31,54,71,13
A,EXP_DBL_0194,3,3.212259,0.951173,449952,17,65,31,54,71,13
A,EXP_DBL_0195,3,3.242661,0.959360,449952,17,65,31,54,71,13
A,EXP_DBL_0196,3,3.243599,0.893847,449952,17,65,31,54,71,13
A,EXP_DBL_0197,3,3.381801,0.926693,449952,17,65,31,54,71,13
A,EXP_DBL_0198,3,3.141658,0.895589,449952,17,65,31,54,71,13
A,EXP_DBL_0199,3,3.254441,1.000981,449952,17,65,31,54,71,13
A,EXP_DBL_0200,3,3.284419,0.918936,449952,17,65,31,54,71,13
A,EXP_DBL_0201,3,2.525452,0.854082,449952,17,65,31,54,71,13
A,EXP_DBL_0202,3,3.131024,0.937549,449952,17,65,31,54,71,13
A,EXP_DBL_0203,3,3.306295,0.987696,449952,17,65,31,54,71,13
A,EXP_DBL_0204,3,3.216175,0.946726,449952,17,65,31,54,71,13
A,EXP_DBL_0205,3,3.233473,0.892158,449952,17,65,31,54,71,13
A,EXP_DBL_0206,3,3.240597,0.991569,449936,17,65,31,54,71,13
A,EXP_DBL_0207,3,3.160274,0.875327,449952,17,65,31,54,71,13
A,EXP_DBL_0208,3,3.263698,0.889067,449952,17,65,31,54,71,13
A,EXP_DBL_0209,3,3.222870,0.891597,449952,17,65,31,54,71,13
A,EXP_DBL_0210,3,3.200777,0.923548,449952,17,65,31,54,71,13
