Variant,ConfigName,n,wall_mean,wall_med,wall_iqr,ns_mean,ns_med,ns_iqr,ns_iqr_ratio,mbps_mean,mbps_med,mbps_iqr,compile_mean,compile_med,compile_iqr,compile_iqr_ratio,size_mean,size_med
tokio,EXP_DBL_1461,10,10.122403,10.109148,0.088173,880.458000,880.815000,7.765000,0.008816,,,,61.334463,61.334463,0.000000,0.000000,4040896.000000,4040896
tokio,EXP_DBL_0758,10,10.076751,10.055736,0.062836,882.857000,883.540000,7.787500,0.008814,,,,58.535542,58.535542,0.000000,0.000000,4037912.000000,4037912
tokio,EXP_DBL_1580,10,10.115155,10.094417,0.065223,884.474000,881.240000,7.762500,0.008809,,,,60.946342,60.946342,0.000000,0.000000,4041368.000000,4041368
tokio,EXP_DBL_0903,10,9.640311,9.480300,0.137579,961.674000,954.925000,8.410000,0.008807,,,,62.943391,62.943391,0.000000,0.000000,4108264.000000,4108264
tokio,EXP_DBL_0468,10,10.054793,10.048918,0.080575,885.449000,879.545000,7.727500,0.008786,,,,58.586765,58.586765,0.000000,0.000000,4041376.000000,4041376
tokio,EXP_DBL_1005,10,10.115166,10.019332,0.047047,877.621000,876.070000,7.695000,0.008784,,,,58.321430,58.321430,0.000000,0.000000,4033120.000000,4033120
tokio,EXP_DBL_1370,10,9.899878,10.060937,0.055448,883.025000,878.575000,7.715000,0.008781,,,,60.107188,60.107188,0.000000,0.000000,4045544.000000,4045544
tokio,EXP_DBL_0941,10,10.182270,10.176645,0.038125,891.597000,886.045000,7.740000,0.008735,,,,59.672436,59.672436,0.000000,0.000000,4046360.000000,4046360
tokio,EXP_DBL_0984,10,10.344210,10.158472,0.060280,888.377000,880.900000,7.695000,0.008735,,,,58.898876,58.898876,0.000000,0.000000,4046360.000000,4046360
tokio,EXP_DBL_1468,10,10.131714,10.113198,0.071095,876.446000,876.630000,7.652500,0.008729,,,,60.820085,60.820085,0.000000,0.000000,4042528.000000,4042528
